Driver,Location,Year,Team,EventDate,Team_Pace_EMA,Driver_Teammate_Gap_EMA,Driver_Consistency_EMA,Degradation_EMA
SAI,Sakhir,2022,Ferrari,2022-03-20,-1.6064208236208282,0.4187094861660081,1.2854643948236797,0.0883002076355019
STR,Sakhir,2022,Aston Martin,2022-03-20,1.208946636696632,-0.5707380952380953,1.5028344315617657,0.1282075788730373
TSU,Sakhir,2022,RB,2022-03-20,0.0390973335607433,-0.1494364937388189,1.243118105200508,0.0232261738261741
VER,Sakhir,2022,Red Bull Racing,2022-03-20,-1.454665669671699,-0.2142584204413475,1.1765898299954742,0.1312532134532137
ZHO,Sakhir,2022,Kick Sauber,2022-03-20,0.0328354809983972,0.0730444444444454,1.545974893746021,-0.0178643356643359
ALB,Jeddah,2022,Williams,2022-03-27,1.4760609384527192,-0.9085780911291188,1.4659502652545973,0.0557526317285144
ALO,Jeddah,2022,Alpine,2022-03-27,0.1239117062817799,0.2675509962133052,1.2146513583070266,0.0302568630972703
BOT,Jeddah,2022,Kick Sauber,2022-03-27,0.2446492951818269,-0.0265438095238094,1.3684451958085786,-0.0011870161417529
GAS,Jeddah,2022,RB,2022-03-27,0.2016778352906635,0.0,1.2253542161616957,0.0161334579732018
HAM,Jeddah,2022,Mercedes,2022-03-27,-0.7337954040558071,0.0738162704988277,1.3222372975383334,-0.013415894845806
HUL,Jeddah,2022,Aston Martin,2022-03-27,1.1350061473309263,0.3145644257703078,1.6303031534762862,0.1056926018148887
LAT,Jeddah,2022,Williams,2022-03-27,1.4760609384527192,0.9085780911291188,1.1346499171480076,0.0579494515043778
LEC,Jeddah,2022,Ferrari,2022-03-27,-1.583155281240502,-0.3249145805884937,1.1771085217522423,0.079809490024325
MAG,Jeddah,2022,Haas F1 Team,2022-03-27,0.1437363895211687,0.0,1.4456735785982486,0.0277796992363195
NOR,Jeddah,2022,McLaren,2022-03-27,0.949799321934101,0.0138873180873184,1.838619912798911,0.0687853226315537
OCO,Jeddah,2022,Alpine,2022-03-27,0.1239117062817799,-0.2675509962133052,1.3281758383430269,-0.0019020805588168
PER,Jeddah,2022,Red Bull Racing,2022-03-27,-1.510582001077597,0.1306921951219509,1.2143929814827918,0.0567032864996077
RIC,Jeddah,2022,McLaren,2022-03-27,0.949799321934101,-0.0138873180873184,1.4581373738094556,0.0156869745975607
RUS,Jeddah,2022,Mercedes,2022-03-27,-0.7337954040558071,-0.0738162704988277,1.208671226115948,-0.0009969711765106
SAI,Jeddah,2022,Ferrari,2022-03-27,-1.583155281240502,0.3249145805884937,1.2437729731330434,0.0334551274859827
STR,Jeddah,2022,Aston Martin,2022-03-27,1.1350061473309263,-0.3145644257703078,1.448045635848893,0.0673178593425737
VER,Jeddah,2022,Red Bull Racing,2022-03-27,-1.510582001077597,-0.1306921951219509,1.1587225793977791,0.0725558907009578
ZHO,Jeddah,2022,Kick Sauber,2022-03-27,0.2446492951818269,0.0265438095238094,1.5111410797665163,-0.0924875478605279
ALB,Melbourne,2022,Williams,2022-04-10,1.1246548959706757,-0.7175753959036868,1.537509682196546,-0.0048893915879984
ALO,Melbourne,2022,Alpine,2022-04-10,0.1561193796566178,0.37752488948274,1.3306978543073251,0.0505993617973314
BOT,Melbourne,2022,Kick Sauber,2022-04-10,0.274458458891002,-0.1443537604617598,1.3871520355536702,-0.0316784122844682
GAS,Melbourne,2022,RB,2022-04-10,0.3222595168320628,-0.0445233046023745,1.19066661187492,-0.002086571224503
HAM,Melbourne,2022,Mercedes,2022-04-10,-0.7875600336976332,0.0387539168886691,1.3380415568116062,-0.0377730352274628
LAT,Melbourne,2022,Williams,2022-04-10,1.1246548959706757,0.7175753959036868,1.1325601201035462,0.0145137646750016
LEC,Melbourne,2022,Ferrari,2022-04-10,-1.687832077224568,0.0,1.1516035902490016,0.0440303186868987
MAG,Melbourne,2022,Haas F1 Team,2022-04-10,0.290355046444556,-0.6622621188630491,1.3210492559914782,0.0214450114817906
MSC,Melbourne,2022,Haas F1 Team,2022-04-10,0.290355046444556,0.6622621188630491,1.508245324561595,0.1208012365994823
NOR,Melbourne,2022,McLaren,2022-04-10,0.4673518968014062,0.0046687544887546,1.5918520667488505,0.0238664656435613
OCO,Melbourne,2022,Alpine,2022-04-10,0.1561193796566178,-0.37752488948274,1.2838978841384,-0.0088517093649723
PER,Melbourne,2022,Red Bull Racing,2022-04-10,-1.2987585853173007,-0.0680343332764794,1.2897229886639423,0.0253131571265528
RIC,Melbourne,2022,McLaren,2022-04-10,0.4673518968014062,-0.0046687544887546,1.3560252880913422,-0.0082384015019335
RUS,Melbourne,2022,Mercedes,2022-04-10,-0.7875600336976332,-0.0387539168886691,1.2757558275119432,-0.0296492224073904
STR,Melbourne,2022,Aston Martin,2022-04-10,1.1093714465849562,-0.7217027858969672,1.3300131784758853,0.0133018938680096
TSU,Melbourne,2022,RB,2022-04-10,0.3222595168320628,0.0445233046023745,1.1628411877307725,0.0093035444535124
VER,Melbourne,2022,Red Bull Racing,2022-04-10,-1.2987585853173007,0.0680343332764794,1.1024394535955362,0.0460149247949062
VET,Melbourne,2022,Aston Martin,2022-04-10,1.1093714465849562,1.3324103260869562,1.938649339746619,-0.1627485294117651
ZHO,Melbourne,2022,Kick Sauber,2022-04-10,0.274458458891002,0.1443537604617598,1.4387497728696077,-0.0716601372359956
ALB,Imola,2022,Williams,2022-04-24,0.91534217944846,-0.4611970893940638,3.011413246969708,-0.0167054650019119
ALO,Imola,2022,Alpine,2022-04-24,0.4041072663370769,5.933647009161343,1.5058817044644457,0.0165723115597995
BOT,Imola,2022,Kick Sauber,2022-04-24,0.1575092867625184,-0.524905185569985,2.813643869388473,-0.0326622789934514
GAS,Imola,2022,RB,2022-04-24,0.2748320547690307,0.2647431800617755,2.7963194222688874,-0.0279591456414126
HAM,Imola,2022,Mercedes,2022-04-24,-0.4512966779717702,0.3757420928433219,2.8596718918369137,-0.0100762437119392
LAT,Imola,2022,Williams,2022-04-24,0.91534217944846,0.4611970893940638,2.853519306860682,-0.0099597920143417
LEC,Imola,2022,Ferrari,2022-04-24,-1.5106576248856518,0.0,2.6745750389943943,0.0061266125485056
MAG,Imola,2022,Haas F1 Team,2022-04-24,0.2574449627061359,-0.5084157961891842,2.7901365717879747,0.0436591429660831
MSC,Imola,2022,Haas F1 Team,2022-04-24,0.2574449627061359,0.5084157961891842,3.231187910691162,0.080234927280001
NOR,Imola,2022,McLaren,2022-04-24,0.3509365040872617,-0.5271568221730573,2.8283537602105597,0.0069471681949655
OCO,Imola,2022,Alpine,2022-04-24,0.4041072663370769,-5.933647009161343,2.8266638839633926,-0.0207348510301023
